train/timesteps,train/iteration,rollout/win_vs_snapshot,rollout/mean_episode_reward,rollout/mean_race_completion,rollout/finish_rate,rollout/mean_speed,rollout/best_race_position,train/actor_loss,train/critic_loss,train/entropy,selfplay/pool_size,win_rate_roll,reward_roll,completion_roll
20004,1,0,-3.9015822165012857,1.3281830549240112,0,6.579659593403124,1,-0.038335876539349556,0.0157478540786542,3.036021888256073,1,0.0,-3.9015822165012857,1.3281830549240112
40008,2,1,-4.857286828756567,1.290942132472992,0,8.504914443423166,1,-0.03680883953347802,0.0073487620102241635,3.0091560781002045,1,0.5,-4.379434522628927,1.3095625936985016
60012,3,1,-4.992420962572187,1.3095653057098389,0,8.856104164126059,1,-0.033967492869123816,0.007023083453532308,3.004621237516403,1,0.6666666666666666,-4.583763335943346,1.3095634977022808
80016,4,0,-5.7637907700540305,1.1387413442134857,0,9.206442013446576,1,-0.03291211579926312,0.004127451276872307,2.96554234623909,1,0.5,-4.878770194471017,1.266857959330082
100020,5,1,-7.23839273619672,1.4775709509849548,0,11.037165964191832,1,-0.034283625427633524,0.00562957301735878,2.9830641746520996,1,0.6,-5.350694702816158,1.3090005576610566
120024,6,0,-1.4096882588863382,1.245611846446991,0,9.99913553554857,2,-0.035489561036229134,0.008541792049072683,2.952646166086197,1,0.5,-4.693860295494521,1.2984357724587123
140028,7,0,-3.8964661679267634,1.1148062646389008,0,6.673210111600909,3,-0.03188206302002072,0.00279895166750066,2.93523570895195,1,0.42857142857142855,-4.5799468486991275,1.2722029856273107
160032,8,0,-2.8642152898312867,1.2669064402580261,0,8.304540346868906,2,-0.03320506168529391,0.005934156128205359,2.958226263523102,1,0.375,-4.365480403840647,1.27154091745615
180036,9,0,-1.9306480801106312,1.2207698822021484,0,8.687660797413868,3,-0.03140130708925426,0.004273177299182862,2.8731955885887146,1,0.3333333333333333,-4.094943478981757,1.2658996913168166
200040,10,1,-7.669402395010232,1.3581690192222595,0,14.113927195755437,1,-0.03181152860634029,0.007279476849362254,2.817442834377289,1,0.4,-4.452389370584604,1.2751266241073609
220044,11,1,-9.048396774054002,1.2956201434135437,0,12.264029970237367,1,-0.03409367776475847,0.006644363573286682,2.85575869679451,1,0.45454545454545453,-4.870208225445459,1.276989671317014
240048,12,1,-9.065655950307688,1.3650183081626892,0,9.626889258037494,1,-0.03309798683039844,0.003952981147449464,2.8863047659397125,1,0.5,-5.219828869183978,1.2843253910541534
260052,13,1,-9.494830978155484,1.2772333025932312,0,8.99385028953991,1,-0.03219040553085506,0.0036215827567502856,2.8628722727298737,1,0.5384615384615384,-5.548675185258708,1.2837798457879286
280056,14,1,-9.369739681959269,1.327301561832428,0,8.43742676616258,1,-0.032536159036681056,0.003934932785341516,2.8825875222682953,1,0.5714285714285714,-5.821608363594463,1.2868885397911072
300060,15,1,-8.362989101171642,1.2967516779899597,0,10.067322727037864,1,-0.03317455109208822,0.004192231979686767,2.910851925611496,1,0.6,-5.991033746099608,1.2875460823376974
320064,16,0,-4.214080575227911,1.342733383178711,0,6.664756852135234,2,-0.033186610555276275,0.006397098477464169,2.922001361846924,1,0.5625,-5.879974172920127,1.2909952886402607
340068,17,1,-8.571443854570509,1.1878607273101807,0,14.199129422218643,1,-0.0293799985665828,0.006264343566726893,2.7722946107387543,1,0.5882352941176471,-6.0382959188995615,1.2849285497384912
360072,18,1,-6.3803425104616895,1.245730996131897,0,7.898061500364802,1,-0.031383783323690295,0.0051520238048397005,2.9288473427295685,1,0.6111111111111112,-6.05729850731968,1.2827509078714583
380076,19,1,-7.042706485986779,1.1618582010269165,0,10.512729390887449,1,-0.03178136656060815,0.005562031816225499,2.7604703307151794,1,0.631578947368421,-6.1091620851442645,1.2763881338270087
400080,20,1,-9.082603178739632,1.3542788624763489,0,8.567336915950829,1,-0.030219889245927334,0.0042465727601666,2.8450028896331787,1,0.65,-6.257834139824032,1.2802826702594756
420084,21,0,-6.395766671419205,1.3486461639404297,0,6.302858304629444,2,-0.03349097492173314,0.005291843583108857,2.8417262732982635,1,0.65,-6.382543362569928,1.2813058257102967
440088,22,1,-5.772992249727598,1.2595510482788086,0,8.743701798857646,1,-0.029436806798912585,0.006029227341059595,2.7615339159965515,1,0.65,-6.42832863361848,1.2797362715005876
460092,23,0,-2.505146987199871,1.0378201007843018,0,7.5916846392574495,3,-0.02656608819961548,0.012608043616637588,2.4883702099323273,1,0.6,-6.303964934849864,1.2661490112543106
480096,24,0,2.876618359804105,1.2380731701850891,0,8.294615155463983,2,-0.027666784590110183,0.013141109724529088,2.689013183116913,1,0.6,-5.871944478356957,1.2711156025528907
500100,25,0,-1.2710563905238983,1.0320882201194763,0,9.400534253805223,2,-0.02884825994260609,0.006930246250703931,2.615244299173355,1,0.55,-5.573577661073316,1.2488414660096168
520104,26,0,-3.153044154882405,1.0410906672477722,0,16.92106102568812,3,-0.030364812118932605,0.010104186949320138,2.564467281103134,1,0.55,-5.660745455873119,1.238615407049656
540108,27,0,-0.7190254647732094,1.0664944052696228,0,14.006299817492746,3,-0.030872555798850954,0.012709946488030255,2.5997748970985413,1,0.55,-5.501873420715442,1.236199814081192
560112,28,0,-4.913684306145034,1.1629126369953156,0,12.828710931475179,2,-0.027972199488431215,0.003144111920846626,2.745442569255829,1,0.55,-5.6043468715311295,1.2310001239180566
580116,29,1,-6.483624321222291,1.3144246339797974,0,6.405878405855636,1,-0.03389199124649167,0.004258262168150395,2.8470147252082825,1,0.6,-5.831995683586713,1.2356828615069388
600120,30,1,-5.592478847742038,1.3127037286758423,0,7.9103909836430955,1,-0.03249515173956752,0.0055479120928794146,2.79491126537323,1,0.6,-5.7281495062233025,1.2334095969796182
620124,31,0,-4.289554761171463,1.2678885459899902,0,10.606080406630426,1,-0.03283006697893143,0.0053178672678768635,2.7500123381614685,1,0.55,-5.490207405579175,1.2320230171084403
640128,32,1,-9.423654525995488,1.3250685930252075,0,6.856591490209372,1,-0.029146073618903756,0.0037453952245414257,2.7463388442993164,1,0.55,-5.508107334363566,1.2300255313515662
660132,33,1,-8.96886456704162,1.382576584815979,0,9.588954191742515,1,-0.034062172286212444,0.004066952707944438,2.782613456249237,1,0.55,-5.481809013807872,1.2352926954627037
680136,34,1,-9.319075003862597,1.3293344974517822,0,5.960007159854454,1,-0.028633620240725577,0.003406044590519741,2.830517739057541,1,0.55,-5.479275779903039,1.2353943422436715
700140,35,1,-7.321970178365891,1.295855462551117,0,5.8194909565657875,1,-0.029946402879431844,0.004002382862381637,2.900645524263382,1,0.55,-5.427224833762751,1.2353495314717293
720144,36,1,-9.047697744608126,1.3936599493026733,0,7.598128039397743,1,-0.028864423977211118,0.003607839666074142,2.831195682287216,1,0.6,-5.668905692231762,1.2378958597779275
740148,37,1,-9.457632576227622,1.3181229829788208,0,4.982206259765459,1,-0.03026654419954866,0.002973657858092338,2.8190999627113342,1,0.6,-5.7132151283146175,1.2444089725613594
760152,38,1,-6.086275624990508,1.3550943732261658,0,10.751587771273382,1,-0.030450893915258348,0.004772238084115088,2.6944694817066193,1,0.6,-5.698511784041059,1.2498771414160728
780156,39,1,-8.709296010255647,1.3351902961730957,0,4.534364970136629,1,-0.029265192802995443,0.003187787369824946,2.8126469552516937,1,0.6,-5.7818412602545015,1.2585437461733817
800160,40,0,-6.549676867246644,1.4378641247749329,0,7.170107413615501,2,-0.028669179417192936,0.004127013991819695,2.688377946615219,1,0.55,-5.655194944679852,1.262723009288311
820164,41,0,-7.77181642794618,1.3870862126350403,0,6.7911226435018675,2,-0.028479927219450474,0.003670555161079392,2.7734956443309784,1,0.55,-5.723997432506201,1.2646450117230414
840168,42,1,-8.979872938394617,1.3994249105453491,0,6.599905236088238,1,-0.030052629532292485,0.0033050688507501036,2.772835284471512,1,0.55,-5.884341466939552,1.2716387048363686
860172,43,1,-8.883300061941341,1.257389485836029,0,22.540145694904172,1,-0.027172235073521733,0.005159413238288835,2.665540039539337,1,0.6,-6.203249120676626,1.282617174088955
